Spelling;FreqCount;DomPoS;DomPoSLemma;DomPoSFreq;DomPoSLemmaTotalFreq;AllPoS;AllPoSFreq;CapitFreq;Spell_check;Hyphen;Homophonic_entry;Double_word_entry;Freq_double_entry
is;3047923;verb;be;3047922;12138693;.verb.noun.;.3047922.1.;133507;UKUS;0;;;
s;3385674;verb;be;2329562;12138693;.verb.pronoun.name.noun.unclassified.adjective.;.2329562.1052720.3159.111.109.13.;3738;UKUS;0;s, es;;
was;1509144;verb;be;1509003;12138693;.verb.name.noun.;.1509003.139.2.;20460;UKUS;0;;;
are;1333491;verb;be;1333486;12138693;.verb.noun.name.;.1333486.4.1.;91889;UKUS;0;are, r, our(3);;
be;1283610;verb;be;1283609;12138693;.verb.noun.;.1283609.1.;11177;UKUS;0;b, be, bee;;
re;689587;verb;be;683820;12138693;.verb.noun.adjective.name.adverb.unclassified.number.;.683820.3430.1599.456.238.42.2.;746;UKUS;0;re, ray;;
m;648543;verb;be;643723;12138693;.verb.name.noun.unclassified.adjective.adverb.preposition.;.643723.3334.768.683.31.3.1.;3611;UKUS;0;m, mm;;
been;532802;verb;be;532791;12138693;.verb.name.adjective.;.532791.10.1.;2076;UKUS;0;been, bin;;
were;448329;verb;be;448322;12138693;.verb.name.adjective.adverb.;.448322.3.2.2.;7503;UKUS;0;were, whir;;
being;159660;verb;be;158005;12138693;.verb.noun.adjective.;.158005.1654.1.;5410;UKUS;0;;;
am;154213;verb;be;153396;12138693;.verb.name.unclassified.;.153396.816.1.;6816;UKUS;0;;;
the;9418422;determiner;the;9412235;9412235;.determiner.name.verb.noun.adverb.number.adjective.;.9412235.6164.17.2.2.1.1.;946828;UKUS;0;;;
to;5327272;marker;to;5327270;5327270;.marker.noun.;.5327270.2.;71970;UKUS;0;to, too, two;;
a;4809384;determiner;a;4795517;5300004;.determiner.noun.name.adverb.verb.unclassified.preposition.adjective.number.;.4795517.5873.4673.1783.638.420.335.139.6.;261106;UKUS;0;a, uh;;
an;504518;determiner;a;504487;5300004;.determiner.name.;.504487.31.;20772;UKUS;0;;;
